Año,Tipo_de_delito,Modalidad,Sexo,Rango_de_edad,Mes,Numero_registros
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Abril,3
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Menores de edad (0-17),Mayo,41
2023,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Mayo,1
2023,Rapto,Rapto,Mujer,Adultos (18 y más),Mayo,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Adultos (18 y más),Mayo,19
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,No especificado,Mayo,17
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Menores de edad (0-17),Mayo,39
2023,Secuestro,Secuestro exprés,Hombre,Adultos (18 y más),Mayo,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Adultos (18 y más),Mayo,16
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,No especificado,Mayo,18
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Mayo,7
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Menores de edad (0-17),Junio,42
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Adultos (18 y más),Junio,15
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,No especificado,Junio,15
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Menores de edad (0-17),Junio,55
2023,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Junio,1
2023,Secuestro,Secuestro exprés,Hombre,Adultos (18 y más),Junio,3
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Adultos (18 y más),Junio,16
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,No especificado,Junio,19
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Junio,1
2023,Secuestro,Secuestro extorsivo,Mujer,Menores de edad (0-17),Julio,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Menores de edad (0-17),Julio,35
2023,Rapto,Rapto,Mujer,Adultos (18 y más),Julio,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Adultos (18 y más),Julio,14
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,No especificado,Julio,12
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Menores de edad (0-17),Julio,51
